Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
127;notification-service;nohej (#38);2020-08-17T10:30:46Z;https://github.schibsted.io/premium-notifications/notification-service/commit/6ad5536e513427a8e0ef8734506480026fac089c
128;notification-integrations-comments;chore: disable prod deploy;2020-08-17T11:09:12Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/564330e4cf59fddbdef3b13aa9071edc76c3b4aa
129;notification-integrations-comments;Add logging;2020-08-17T11:36:47Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/ee53dd88baadd2d5cc33483442c5719fa4aa5873
130;notification-integrations-comments;chore: skip cleanup in deploy;2020-08-17T11:42:26Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/0e33a2c3eba67d4579d2e783e926829be7802ecd
131;notification-integrations-comments;fix: filter by publication;2020-08-17T12:34:21Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/20eee8e2a4c392829b449a0a5e1f7b77651ea55e
132;notification-integrations-comments;fix: errors in async/await handling;2020-08-17T12:56:06Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/c59d584f4070a8467c7568675e028dc739a3040e
133;notification-service;feat: add more logs (#39);2020-08-17T13:37:13Z;https://github.schibsted.io/premium-notifications/notification-service/commit/aac085d61f97ca6ba9a62d69ded9e88cc313040d
134;notification-service;fix: env for spid merchants (#40);2020-08-17T14:12:42Z;https://github.schibsted.io/premium-notifications/notification-service/commit/25f804f1ada593ba19b22a7f718656c5489c877b
135;notification-service;fix: how we parse data (#41);2020-08-18T10:09:03Z;https://github.schibsted.io/premium-notifications/notification-service/commit/afb4dcf9a88de26901864561212ee64520083cb9
136;comments-bifrost;chore: Set URLs to notification-service (#274);2020-08-19T07:21:29Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/e968813fb7bb50210669f0a32136d9c4cbff03dd
137;comments-front;chore: integrate notification endpoints (#532);2020-08-19T10:03:34Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/5c584743167486920aaa3de71e82272101da7f5e
138;comments-shared;fix(@bt/user-service) client token dont support refresh tokens (#117);2020-08-19T13:29:13Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/35ed8845e124c91be85968b1f011bb1bd4e924ed
139;comments-shared;Publish;2020-08-20T13:11:49Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/707a133e0b1317f1d8783477f782306268e6bd28
140;notification-service;chore: @bt/user-service (#43);2020-08-20T13:51:19Z;https://github.schibsted.io/premium-notifications/notification-service/commit/222fca9fa2a3c5dcaea7194c14f47ebfc698f05b
141;comments-bifrost;chore: bump @bt/user-service (#275);2020-08-20T13:51:27Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/6b8a8e3dbc3b2265cc1fbdeaf5c29e67eed89517
142;comments;add posting new comment flow chart;2020-08-21T10:56:28Z;https://github.schibsted.io/bergens-tidende/comments/commit/e9d5480b8af5deb1064dee0b1efc33f6073395af
143;notification-service;chore: decrease memory size (128) for lambdas (#44);2020-08-26T09:36:29Z;https://github.schibsted.io/premium-notifications/notification-service/commit/fb425238866a5cfe682b503b461a4d01b670f6ca
144;comments-bifrost;chore: remove node_modules from cache (#278);2020-08-27T14:07:34Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/ab1de64fe7bd921491f61afca18d87b73c741153
145;comments-front;fix: RECEIVE_SESSION_DATA bug (#536);2020-08-31T14:16:53Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/5ede2832b4aeffd05918bb1ef70233ac8760247b
